text,subject
What is Newton's second law?,Physics
Define velocity and acceleration.,Physics
State the law of conservation of energy.,Physics
What is the unit of force?,Physics
Explain the Doppler effect.,Physics
What is Newton's law of universal gravitation?,Physics
Define work and power in physics.,Physics
What are the three modes of heat transfer?,Physics
Explain the difference between kinetic and potential energy.,Physics
What is Ohm's law?,Physics
Define electric current and voltage.,Physics
What is electromagnetic induction?,Physics
Explain the concept of wave-particle duality.,Physics
What is radioactivity?,Physics
Describe the process of nuclear fission.,Physics
What is photosynthesis?,Biology
Describe the function of the mitochondria.,Biology
What are enzymes?,Biology
Define osmosis and diffusion.,Biology
What is DNA replication?,Biology
What is a plant?,Biology
What is the cell theory?,Biology
Describe the structure of a plant cell.,Biology
What are the different types of tissues in animals?,Biology
Explain the process of mitosis and meiosis.,Biology
What is Mendelian genetics?,Biology
Describe the structure and function of the human heart.,Biology
What is the role of the lungs in respiration?,Biology
Explain the function of the digestive system.,Biology
What is the role of the nervous system?,Biology
Describe the function of the kidneys.,Biology
What is a covalent bond?,Chemistry
Define atomic number and mass number.,Chemistry
What is an acid-base reaction?,Chemistry
State the periodic law.,Chemistry
What are noble gases?,Chemistry
What are the different states of matter?,Chemistry
Explain the difference between elements; compounds; and mixtures.,Chemistry
What is an ionic bond?,Chemistry
Define molarity and molality.,Chemistry
What is a chemical equation and how is it balanced?,Chemistry
Explain Le Chatelier's principle.,Chemistry
What is the difference between exothermic and endothermic reactions?,Chemistry
Define oxidation and reduction.,Chemistry
What are organic compounds?,Chemistry
Describe the structure of the benzene ring.,Chemistry
What is the Pythagorean theorem?,Math
Define a quadratic equation.,Math
What is the area of a triangle?,Math
Explain the concept of limits in calculus.,Math
What is a prime number?,Math
What is the definition of a function in mathematics?,Math
Explain the concept of a derivative in calculus.,Math
What is an integral in calculus?,Math
Define a logarithm.,Math
What are the properties of exponents?,Math
What is the formula for the area of a circle?,Math
Define the sine; cosine; and tangent functions in trigonometry.,Math
What is a matrix in mathematics?,Math
Explain the concept of probability.,Math
What is a vector in mathematics?,Math
Who was Napoleon Bonaparte?,History
What caused World War I?,History
Describe the American Revolution.,History
When did the Roman Empire fall?,History
What was the Cold War?,History
